Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.366,INFO,<940:ThreadPoolExecutor-0_6> prechecks.py:742,Precheck 'check target database connection' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.368,DEBUG,<940:ThreadPoolExecutor-0_6> prechecks.py:827,Precheck check target database connection took 0:00:09.396646
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.371,INFO,<940:ThreadPoolExecutor-0_7> prechecks.py:787,Running precheck: PRE: check target DBMS version
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.465,INFO,<940:ThreadPoolExecutor-0_8> prechecks.py:787,Running precheck: PRE: check external tables on target
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.564,INFO,<940:ThreadPoolExecutor-0_5> prechecks.py:787,Running precheck: PRE: check target driver version
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.667,INFO,<940:ThreadPoolExecutor-0_10> prechecks.py:787,Running precheck: PRE: check tablespace
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.669,INFO,<940:ThreadPoolExecutor-0_11> prechecks.py:787,Running precheck: PRE: check target tenant
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.866,INFO,<940:ThreadPoolExecutor-0_10> prechecks.py:742,Precheck 'check tablespace' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.866,INFO,<940:ThreadPoolExecutor-0_11> prechecks.py:742,Precheck 'check target tenant' in stage PRE:  SKIPPED as N/A: No precheck needed for default target TENANT
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:24.965,DEBUG,<940:ThreadPoolExecutor-0_10> prechecks.py:827,Precheck check tablespace took 0:00:00.298573
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:25.165,DEBUG,<940:ThreadPoolExecutor-0_11> prechecks.py:827,Precheck check target tenant took 0:00:00.495830
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:38.965,INFO,<940:ThreadPoolExecutor-0_1> prechecks.py:742,Precheck 'check source database connection' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:38.967,DEBUG,<940:ThreadPoolExecutor-0_1> prechecks.py:827,Precheck check source database connection took 0:00:24.096199
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:39.365,INFO,<940:ThreadPoolExecutor-0_12> prechecks.py:787,Running precheck: PRE: check source tables
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:39.568,INFO,<940:ThreadPoolExecutor-0_7> prechecks.py:742,Precheck 'check target DBMS version' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:39.867,DEBUG,<940:ThreadPoolExecutor-0_7> prechecks.py:827,Precheck check target DBMS version took 0:00:15.495972
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:39.867,INFO,<940:ThreadPoolExecutor-0_7> prechecks.py:787,Running precheck: PRE: check source DBMS version
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:41.265,INFO,<940:ThreadPoolExecutor-0_14> prechecks.py:787,Running precheck: PRE: check external tables on source
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:42.065,INFO,<940:ThreadPoolExecutor-0_9> prechecks.py:787,Running precheck: PRE: check source driver version
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:42.265,INFO,<940:ThreadPoolExecutor-0_5> prechecks.py:742,Precheck 'check target driver version' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:42.466,DEBUG,<940:ThreadPoolExecutor-0_5> prechecks.py:827,Precheck check target driver version took 0:00:17.901992
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:42.665,INFO,<940:ThreadPoolExecutor-0_0> prechecks.py:787,Running precheck: PRE: check source tenant
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:42.666,INFO,<940:ThreadPoolExecutor-0_4> prechecks.py:787,Running precheck: PRE: check DDL extractor
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:42.765,INFO,<940:ThreadPoolExecutor-0_0> prechecks.py:742,Precheck 'check source tenant' in stage PRE:  SKIPPED as N/A: No precheck needed for default source TENANT
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:42.865,TRACE,<940:ThreadPoolExecutor-0_4> logger.py:81,db2look options: -d testdb -c -e -noview -t SYSCAT.TABLES -td @ -i db2inst1 -a -w <hidden>
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:43.567,DEBUG,<940:ThreadPoolExecutor-0_0> prechecks.py:827,Precheck check source tenant took 0:00:00.901298
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:44.966,INFO,<940:ThreadPoolExecutor-0_8> prechecks.py:742,Precheck 'check external tables on target' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:51:44.967,DEBUG,<940:ThreadPoolExecutor-0_8> prechecks.py:827,Precheck check external tables on target took 0:00:20.501693
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:01.766,INFO,<940:ThreadPoolExecutor-0_7> prechecks.py:742,Precheck 'check source DBMS version' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:01.964,DEBUG,<940:ThreadPoolExecutor-0_7> prechecks.py:827,Precheck check source DBMS version took 0:00:22.096951
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:02.568,INFO,<940:ThreadPoolExecutor-0_12> prechecks.py:742,Precheck 'check source tables' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:02.764,DEBUG,<940:ThreadPoolExecutor-0_12> prechecks.py:827,Precheck check source tables took 0:00:23.399674
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:06.665,INFO,<940:ThreadPoolExecutor-0_9> prechecks.py:742,Precheck 'check source driver version' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:07.064,DEBUG,<940:ThreadPoolExecutor-0_9> prechecks.py:827,Precheck check source driver version took 0:00:24.999372
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:20.873,INFO,<940:ThreadPoolExecutor-0_14> prechecks.py:742,Precheck 'check external tables on source' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:20.874,DEBUG,<940:ThreadPoolExecutor-0_14> prechecks.py:827,Precheck check external tables on source took 0:00:39.609623
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:37.467,INFO,<940:ThreadPoolExecutor-0_4> prechecks.py:742,Precheck 'check DDL extractor' in stage PRE:  PASSED
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:52:37.469,DEBUG,<940:ThreadPoolExecutor-0_4> prechecks.py:827,Precheck check DDL extractor took 0:00:54.802883
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,03:53:00.671,TRACE,<940:MainThread> logger.py:81,"Created test table: ""87abb5e66d7c40ecb23064516992802b"" on host: 206.12.91.107"
