Experiment Number,file,limit,compressionType,stream,Experiment startTime,TotalBackupTime,TotaltransferTime,TotalMigrationTime,TotalValidationTime,TotalClearTime,sizeOnTargetMachine,sizeOnLocalMachine,compressionTime,dataTransferTime,readingFileTime,sumsizeOnTargetMachine,maxsizeOnTargetMachine,avgsizeOnTargetMachine,sumsizeOnLocalMachine,maxsizeOnLocalMachine,avgsizeOnLocalMachine,sumcompressionTime,maxcompressionTime,avgcompressionTime,sumdataTransferTime,maxdataTransferTime,avgdataTransferTime,sumreadingFileTime,maxreadingFileTime,avgreadingFileTime
15,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,47.97772026062012,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,73.49086403846741,31.734841346740723,24.496954679489136,0.23503732681274414,0.09210824966430664,0.07834577560424805
16,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,36.06029653549194,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,67.31081247329712,22.897518157958984,22.43693749109904,0.2137928009033203,0.07241153717041016,0.07126426696777344
17,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,40.04992461204529,0,0,4.76837158203125e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,55.81174635887146,23.644379138946533,18.603915452957153,0.20957565307617188,0.07350826263427734,0.06985855102539062
18,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,38.716637134552,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,63.42467379570007,23.327810525894165,21.141557931900024,0.2075512409210205,0.0731813907623291,0.06918374697367351
19,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,39.563838720321655,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,55.295276403427124,25.50255513191223,18.431758801142376,0.23469090461730957,0.08790421485900879,0.0782303015391032
20,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,42.551177978515625,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,57.95116448402405,23.2534396648407,19.317054828008015,0.21052122116088867,0.07343029975891113,0.07017374038696289
21,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,41.190349102020264,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,58.48663282394409,28.93498396873474,19.49554427464803,0.22386813163757324,0.08790135383605957,0.07462271054585774
22,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,33.201359272003174,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,58.75540637969971,19.826374769210815,19.585135459899902,0.22552013397216797,0.0786430835723877,0.07517337799072266
23,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,36.98976993560791,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,57.364110469818115,19.910064935684204,19.121370156606037,0.22506213188171387,0.07812714576721191,0.07502071062723796
24,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,37.57550549507141,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,57.39387369155884,23.627598762512207,19.13129123051961,0.20766329765319824,0.07155394554138184,0.06922109921773274
25,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,41.200618267059326,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,62.921714544296265,22.421630144119263,20.973904848098755,0.2209796905517578,0.07520771026611328,0.07365989685058594
26,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,39.94681978225708,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,60.452736139297485,21.323501348495483,20.150912046432495,0.2209029197692871,0.08033466339111328,0.07363430658976237
27,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,32.957566261291504,0,0,0.0,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,58.03760838508606,21.36698269844055,19.345869461695354,0.20821690559387207,0.07330560684204102,0.06940563519795735
28,exported_ORDERS1.sql,104857600,None,3,1711135902.1539989,0,32.32253837585449,0,0,2.384185791015625e-07,0,0,0,0,0,1914252494.0,638084165.0,638084164.6666666,1914252494.0,638084165.0,638084164.6666666,0.0,0.0,0.0,56.17399740219116,18.964320182800293,18.72466580073039,0.20799684524536133,0.07341170310974121,0.06933228174845378
